notes,main,date,Cooperating Partner,Province,Island,Area (Reported),mapper,Location/Village,followup distribution,HH,shelter tool kit,tarpaulin,collapsible jerry can (10L),jerry (20L),hygiene kit,bucket,kitchen set,sleeping mat,blanket,solar lamp,mosquito net,rice (25kg),EC food (for 1 hh 1 day),drinking water (litres),Adm1_Name,Adm1_Code,Adm2_Name,Adm2_Code,Adm3_Name,Adm3_Code,Stle_Name,Stle_Code
Efate - Port Vila,VRCS,3/19/15,IFRC,Shefa,Efate,Port Vila,portvila,Tebakor Assembly of God (EC),,55,,,,,,,,,,,,,55,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/20/15,IFRC,Shefa,Efate,Port Vila,portvila,Tebakor Assembly of God (EC),Y,0,,,,,,,,,,,,,55,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/21/15,IFRC,Shefa,Efate,Port Vila,portvila,Tebakor Assembly of God (EC),Y,0,,,,,,,,,,,,,55,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
Efate - Port Vila,VRCS,3/22/15,IFRC,Shefa,Efate,Port Vila,portvila,Tebakor Assembly of God (EC),Y,0,,,,,,,,,,,,,55,,SHEFA,VUT0105,Port Vila,VUT0105071,Port Vila (Port Vila),VUT0105071017,Port Vila,VUT01050710170848
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Finonge,,23,23,46,26,,18,,23,,,46,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Makitea,,10,9,20,20,,10,,10,,,20,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Marae,,27,24,54,14,,25,,27,,,54,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Nofo school and health centre,,,5,6,6,,5,,1,,,3,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Reisu,,3,3,6,6,,3,,3,,,6,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Sanava,,40,39,80,80,,38,,40,,,80,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Sangava,,5,4,10,10,,4,,5,,,10,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Sesake,,30,29,60,60,,26,,30,,,60,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Siwo Cameron Daniel,,4,4,8,8,,4,,4,,,8,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Tapagoro,,13,12,26,26,,10,,13,,,26,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Tongamea,,36,33,72,72,,32,,36,,,72,,,,,,,,,,,,
,VRCS,3/30/15,IFRC,Shefa,Emae,,emae,Vaitini,,13,,26,26,,13,,13,,,26,,,,,,,,,,,,
Emae,VRCS,3/23/15,IFRC,Shefa,Emae,,emae,,,75,,230,150,,,,,250,,,,,,,SHEFA,VUT0105,Emae,VUT0105006,Makimae (Emae),VUT0105006036,,#N/A
offshore Efate1,VRCS,3/25/15,IFRC,Shefa,Emao,,offshore_emau_lausake,Lausake,,16,16,16,16,,16,,,32,,16,,,,,SHEFA,VUT0105,Emau,VUT0105039,Emau (Emau),VUT0105039030,Laosake,VUT01050390300986
offshore Efate1,VRCS,3/25/15,IFRC,Shefa,Emao,,offshore_emau_mangarongo,Mangarongo,,20,20,40,40,,20,,,40,,20,,,,,SHEFA,VUT0105,Emau,VUT0105039,Emau (Emau),VUT0105039030,Mangarongo,VUT01050390300999
offshore Efate1,VRCS,3/25/15,IFRC,Shefa,Emao,,offshore_emau_mapua,Mapua,,19,19,19,19,,19,,,38,,19,,,,,SHEFA,VUT0105,Emau,VUT0105039,Emau (Emau),VUT0105039030,Mapua,VUT01050390301000
offshore Efate1,VRCS,3/25/15,IFRC,Shefa,Emao,,offshore_emau_marou,Marrow (Marou),,33,33,66,66,,33,,,66,,33,,,,,SHEFA,VUT0105,Emau,VUT0105039,Emau (Emau),VUT0105039030,Marow,VUT01050390300994
offshore Efate1,VRCS,3/25/15,IFRC,Shefa,Emao,,offshore_emau_ngurua,Ngurua,,20,20,20,20,,20,,,40,,20,,,,,SHEFA,VUT0105,Emau,VUT0105039,Emau (Emau),VUT0105039030,Ngurua,VUT01050390300989
offshore Efate1,VRCS,3/26/15,IFRC,Shefa,Emao,,offshore_emau_wiana,Wiana,,20,20,40,40,,20,,20,40,40,20,,,,,SHEFA,VUT0105,Emau,VUT0105039,Emau (Emau),VUT0105039030,Wiana,VUT01050390300985
,other,3/22/15,IFRC via Relief International,Tafea,Erromango,,,,,,,,,,,,,,,,,20,,,TAFEA,VUT0106,Erromango,VUT0106008,,#N/A,,#N/A
offshore Efate2,VRCS,3/30/15,IFRC,Shefa,Lelepa,,lelepa, and + 7 rotary boxes,,18,11,11,,,,,,,,,,,,,SHEFA,VUT0105,Lelepa,VUT0105051,Malorua (Lelepa),VUT0105051023,,#N/A
Shepherd Islands,VRCS,3/22/15,IFRC,Shefa,Makira,,makira,,,31,41,70,41,,41,,41,41,,41,,50,,,SHEFA,VUT0105,Makira,VUT0105015,Makimae (Makira),VUT0105015035,,#N/A
